18/03/21 02:16:39 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.3-hadoop2
18/03/21 02:16:39 INFO client.RMProxy: Connecting to ResourceManager at cluster-2909-m/10.138.0.4:8032
18/03/21 02:16:40 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/03/21 02:16:44 INFO input.FileInputFormat: Total input files to process : 3035
18/03/21 02:16:44 INFO mapreduce.JobSubmitter: number of splits:3035
18/03/21 02:16:45 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1521598375209_0001
18/03/21 02:16:46 INFO impl.YarnClientImpl: Submitted application application_1521598375209_0001
18/03/21 02:16:46 INFO mapreduce.Job: The url to track the job: http://cluster-2909-m:8088/proxy/application_1521598375209_0001/
18/03/21 02:16:46 INFO mapreduce.Job: Running job: job_1521598375209_0001
18/03/21 02:16:56 INFO mapreduce.Job: Job job_1521598375209_0001 running in uber mode : false
18/03/21 03:30:23 INFO mapreduce.Job:  map 100% reduce 27%
18/03/21 03:30:25 INFO mapreduce.Job:  map 100% reduce 34%
18/03/21 03:30:28 INFO mapreduce.Job:  map 100% reduce 36%
18/03/21 03:30:29 INFO mapreduce.Job:  map 100% reduce 37%
18/03/21 03:30:31 INFO mapreduce.Job:  map 100% reduce 43%
18/03/21 03:30:33 INFO mapreduce.Job:  map 100% reduce 44%
18/03/21 03:30:34 INFO mapreduce.Job:  map 100% reduce 51%
18/03/21 03:30:37 INFO mapreduce.Job:  map 100% reduce 53%
18/03/21 03:30:39 INFO mapreduce.Job:  map 100% reduce 54%
18/03/21 03:30:40 INFO mapreduce.Job:  map 100% reduce 57%
18/03/21 03:30:43 INFO mapreduce.Job:  map 100% reduce 60%
18/03/21 03:30:46 INFO mapreduce.Job:  map 100% reduce 63%
18/03/21 03:30:49 INFO mapreduce.Job:  map 100% reduce 66%
18/03/21 03:30:52 INFO mapreduce.Job:  map 100% reduce 68%
18/03/21 03:30:53 INFO mapreduce.Job:  map 100% reduce 69%
18/03/21 03:30:55 INFO mapreduce.Job:  map 100% reduce 71%
18/03/21 03:30:58 INFO mapreduce.Job:  map 100% reduce 74%
18/03/21 03:31:01 INFO mapreduce.Job:  map 100% reduce 75%
18/03/21 03:31:03 INFO mapreduce.Job:  map 100% reduce 76%
18/03/21 03:31:04 INFO mapreduce.Job:  map 100% reduce 79%
18/03/21 03:31:07 INFO mapreduce.Job:  map 100% reduce 80%
18/03/21 03:31:09 INFO mapreduce.Job:  map 100% reduce 81%
18/03/21 03:31:10 INFO mapreduce.Job:  map 100% reduce 83%
18/03/21 03:31:13 INFO mapreduce.Job:  map 100% reduce 84%
18/03/21 03:31:15 INFO mapreduce.Job:  map 100% reduce 85%
18/03/21 03:31:16 INFO mapreduce.Job:  map 100% reduce 87%
18/03/21 03:31:19 INFO mapreduce.Job:  map 100% reduce 88%
18/03/21 03:31:22 INFO mapreduce.Job:  map 100% reduce 90%
18/03/21 03:31:25 INFO mapreduce.Job:  map 100% reduce 92%
18/03/21 03:31:28 INFO mapreduce.Job:  map 100% reduce 94%
18/03/21 03:31:31 INFO mapreduce.Job:  map 100% reduce 95%
18/03/21 03:31:33 INFO mapreduce.Job:  map 100% reduce 96%
18/03/21 03:31:35 INFO mapreduce.Job:  map 100% reduce 97%
18/03/21 03:31:37 INFO mapreduce.Job:  map 100% reduce 98%
18/03/21 03:31:40 INFO mapreduce.Job:  map 100% reduce 99%
18/03/21 03:31:43 INFO mapreduce.Job:  map 100% reduce 100%
18/03/21 03:31:50 INFO mapreduce.Job: Job job_1521598375209_0001 completed successfully
18/03/21 03:31:50 INFO mapreduce.Job: Counters: 55
	File System Counters
		FILE: Number of bytes read=3420439283
		FILE: Number of bytes written=7284240310
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1141053926
		GS: Number of bytes written=235895406
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=430643
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3035
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
